Freq.	V(n003)
7.49842417751191e+03	(2.35215504698104e+01dB,-1.24654184034479e-01°)
7.53303533093375e+03	(2.35215504833957e+01dB,-1.25229562715249e-01°)
7.56780624218108e+03	(2.35215504971067e+01dB,-1.25807597238782e-01°)
7.60273764866252e+03	(2.35215505109446e+01dB,-1.26388299864104e-01°)
7.63783029119040e+03	(2.35215505249105e+01dB,-1.26971682906834e-01°)
7.67308491399651e+03	(2.35215505390057e+01dB,-1.27557758739435e-01°)
7.70850226474784e+03	(2.35215505532312e+01dB,-1.28146539791483e-01°)
7.74408309456245e+03	(2.35215505675884e+01dB,-1.28738038549935e-01°)
7.77982815802542e+03	(2.35215505820784e+01dB,-1.29332267559381e-01°)
7.81573821320481e+03	(2.35215505967025e+01dB,-1.29929239422320e-01°)
7.85181402166781e+03	(2.35215506114619e+01dB,-1.30528966799426e-01°)
7.88805634849679e+03	(2.35215506263579e+01dB,-1.31131462409813e-01°)
7.92446596230561e+03	(2.35215506413917e+01dB,-1.31736739031308e-01°)
7.96104363525590e+03	(2.35215506565646e+01dB,-1.32344809500725e-01°)
7.99779014307339e+03	(2.35215506718778e+01dB,-1.32955686714130e-01°)
8.03470626506443e+03	(2.35215506873328e+01dB,-1.33569383627116e-01°)
8.07179278413248e+03	(2.35215507029308e+01dB,-1.34185913255080e-01°)
8.10905048679470e+03	(2.35215507186730e+01dB,-1.34805288673507e-01°)
8.14648016319866e+03	(2.35215507345610e+01dB,-1.35427523018229e-01°)
8.18408260713909e+03	(2.35215507505959e+01dB,-1.36052629485717e-01°)
8.22185861607471e+03	(2.35215507667792e+01dB,-1.36680621333362e-01°)
8.25980899114513e+03	(2.35215507831122e+01dB,-1.37311511879748e-01°)
8.29793453718786e+03	(2.35215507995964e+01dB,-1.37945314504939e-01°)
8.33623606275537e+03	(2.35215508162330e+01dB,-1.38582042650765e-01°)
8.37471438013224e+03	(2.35215508330236e+01dB,-1.39221709821099e-01°)
8.41337030535239e+03	(2.35215508499696e+01dB,-1.39864329582158e-01°)
8.45220465821638e+03	(2.35215508670723e+01dB,-1.40509915562775e-01°)
8.49121826230878e+03	(2.35215508843333e+01dB,-1.41158481454694e-01°)
8.53041194501568e+03	(2.35215509017540e+01dB,-1.41810041012869e-01°)
8.56978653754219e+03	(2.35215509193359e+01dB,-1.42464608055736e-01°)
8.60934287493009e+03	(2.35215509370805e+01dB,-1.43122196465532e-01°)
8.64908179607557e+03	(2.35215509549892e+01dB,-1.43782820188565e-01°)
8.68900414374694e+03	(2.35215509730636e+01dB,-1.44446493235533e-01°)
8.72911076460258e+03	(2.35215509913053e+01dB,-1.45113229681787e-01°)
8.76940250920887e+03	(2.35215510097157e+01dB,-1.45783043667680e-01°)
8.80988023205821e+03	(2.35215510282965e+01dB,-1.46455949398813e-01°)
8.85054479158717e+03	(2.35215510470492e+01dB,-1.47131961146377e-01°)
8.89139705019468e+03	(2.35215510659754e+01dB,-1.47811093247437e-01°)
8.93243787426032e+03	(2.35215510850767e+01dB,-1.48493360105236e-01°)
8.97366813416270e+03	(2.35215511043548e+01dB,-1.49178776189507e-01°)
9.01508870429791e+03	(2.35215511238112e+01dB,-1.49867356036782e-01°)
9.05670046309808e+03	(2.35215511434477e+01dB,-1.50559114250683e-01°)
9.09850429304999e+03	(2.35215511632658e+01dB,-1.51254065502258e-01°)
9.14050108071378e+03	(2.35215511832673e+01dB,-1.51952224530271e-01°)
9.18269171674180e+03	(2.35215512034538e+01dB,-1.52653606141519e-01°)
9.22507709589744e+03	(2.35215512238271e+01dB,-1.53358225211163e-01°)
9.26765811707413e+03	(2.35215512443890e+01dB,-1.54066096683014e-01°)
9.31043568331441e+03	(2.35215512651410e+01dB,-1.54777235569875e-01°)
9.35341070182908e+03	(2.35215512860851e+01dB,-1.55491656953850e-01°)
9.39658408401642e+03	(2.35215513072230e+01dB,-1.56209375986661e-01°)
9.43995674548154e+03	(2.35215513285564e+01dB,-1.56930407889973e-01°)
9.48352960605581e+03	(2.35215513500872e+01dB,-1.57654767955721e-01°)
9.52730358981631e+03	(2.35215513718172e+01dB,-1.58382471546430e-01°)
9.57127962510551e+03	(2.35215513937483e+01dB,-1.59113534095534e-01°)
9.61545864455087e+03	(2.35215514158823e+01dB,-1.59847971107715e-01°)
9.65984158508470e+03	(2.35215514382211e+01dB,-1.60585798159231e-01°)
9.70442938796397e+03	(2.35215514607666e+01dB,-1.61327030898237e-01°)
9.74922299879031e+03	(2.35215514835206e+01dB,-1.62071685045127e-01°)
9.79422336753003e+03	(2.35215515064852e+01dB,-1.62819776392853e-01°)
9.83943144853431e+03	(2.35215515296623e+01dB,-1.63571320807294e-01°)
9.88484820055939e+03	(2.35215515530538e+01dB,-1.64326334227544e-01°)
9.93047458678694e+03	(2.35215515766617e+01dB,-1.65084832666285e-01°)
9.97631157484449e+03	(2.35215516004881e+01dB,-1.65846832210119e-01°)
1.00223601368259e+04	(2.35215516245349e+01dB,-1.66612349019903e-01°)
1.00686212493120e+04	(2.35215516488042e+01dB,-1.67381399331104e-01°)
1.01150958933914e+04	(2.35215516732980e+01dB,-1.68153999454121e-01°)
1.01617850546812e+04	(2.35215516980185e+01dB,-1.68930165774661e-01°)
1.02086897233477e+04	(2.35215517229677e+01dB,-1.69709914754055e-01°)
1.02558108941279e+04	(2.35215517481477e+01dB,-1.70493262929642e-01°)
1.03031495663501e+04	(2.35215517735607e+01dB,-1.71280226915085e-01°)
1.03507067439553e+04	(2.35215517992088e+01dB,-1.72070823400749e-01°)
1.03984834355186e+04	(2.35215518250942e+01dB,-1.72865069154037e-01°)
1.04464806542703e+04	(2.35215518512192e+01dB,-1.73662981019772e-01°)
1.04946994181177e+04	(2.35215518775858e+01dB,-1.74464575920516e-01°)
1.05431407496665e+04	(2.35215519041964e+01dB,-1.75269870856958e-01°)
1.05918056762426e+04	(2.35215519310531e+01dB,-1.76078882908276e-01°)
1.06406952299137e+04	(2.35215519581584e+01dB,-1.76891629232472e-01°)
1.06898104475113e+04	(2.35215519855145e+01dB,-1.77708127066772e-01°)
1.07391523706528e+04	(2.35215520131236e+01dB,-1.78528393727959e-01°)
1.07887220457634e+04	(2.35215520409882e+01dB,-1.79352446612764e-01°)
1.08385205240986e+04	(2.35215520691106e+01dB,-1.80180303198224e-01°)
1.08885488617659e+04	(2.35215520974932e+01dB,-1.81011981042050e-01°)
1.09388081197479e+04	(2.35215521261384e+01dB,-1.81847497783019e-01°)
1.09892993639242e+04	(2.35215521550487e+01dB,-1.82686871141313e-01°)
1.10400236650946e+04	(2.35215521842264e+01dB,-1.83530118918930e-01°)
1.10909820990012e+04	(2.35215522136740e+01dB,-1.84377259000049e-01°)
1.11421757463516e+04	(2.35215522433942e+01dB,-1.85228309351398e-01°)
1.11936056928418e+04	(2.35215522733892e+01dB,-1.86083288022648e-01°)
1.12452730291790e+04	(2.35215523036619e+01dB,-1.86942213146797e-01°)
1.12971788511050e+04	(2.35215523342146e+01dB,-1.87805102940550e-01°)
1.13493242594192e+04	(2.35215523650499e+01dB,-1.88671975704703e-01°)
1.14017103600022e+04	(2.35215523961706e+01dB,-1.89542849824541e-01°)
1.14543382638390e+04	(2.35215524275792e+01dB,-1.90417743770210e-01°)
1.15072090870427e+04	(2.35215524592784e+01dB,-1.91296676097135e-01°)
1.15603239508781e+04	(2.35215524912709e+01dB,-1.92179665446388e-01°)
1.16136839817857e+04	(2.35215525235593e+01dB,-1.93066730545096e-01°)
1.16672903114051e+04	(2.35215525561465e+01dB,-1.93957890206849e-01°)
1.17211440765997e+04	(2.35215525890352e+01dB,-1.94853163332068e-01°)
1.17752464194802e+04	(2.35215526222282e+01dB,-1.95752568908444e-01°)
1.18295984874289e+04	(2.35215526557283e+01dB,-1.96656126011310e-01°)
1.18842014331245e+04	(2.35215526895384e+01dB,-1.97563853804061e-01°)
1.19390564145660e+04	(2.35215527236612e+01dB,-1.98475771538568e-01°)
1.19941645950976e+04	(2.35215527580997e+01dB,-1.99391898555550e-01°)
1.20495271434331e+04	(2.35215527928569e+01dB,-2.00312254285042e-01°)
1.21051452336810e+04	(2.35215528279357e+01dB,-2.01236858246755e-01°)
1.21610200453692e+04	(2.35215528633390e+01dB,-2.02165730050515e-01°)
1.22171527634700e+04	(2.35215528990698e+01dB,-2.03098889396683e-01°)
1.22735445784253e+04	(2.35215529351312e+01dB,-2.04036356076556e-01°)
1.23301966861718e+04	(2.35215529715263e+01dB,-2.04978149972795e-01°)
1.23871102881666e+04	(2.35215530082581e+01dB,-2.05924291059863e-01°)
1.24442865914121e+04	(2.35215530453297e+01dB,-2.06874799404415e-01°)
1.25017268084823e+04	(2.35215530827443e+01dB,-2.07829695165750e-01°)
1.25594321575480e+04	(2.35215531205051e+01dB,-2.08788998596238e-01°)
1.26174038624030e+04	(2.35215531586152e+01dB,-2.09752730041735e-01°)
1.26756431524897e+04	(2.35215531970779e+01dB,-2.10720909942021e-01°)
1.27341512629254e+04	(2.35215532358965e+01dB,-2.11693558831245e-01°)
1.27929294345284e+04	(2.35215532750742e+01dB,-2.12670697338340e-01°)
1.28519789138445e+04	(2.35215533146144e+01dB,-2.13652346187486e-01°)
1.29113009531731e+04	(2.35215533545204e+01dB,-2.14638526198525e-01°)
1.29708968105942e+04	(2.35215533947956e+01dB,-2.15629258287413e-01°)
1.30307677499946e+04	(2.35215534354434e+01dB,-2.16624563466675e-01°)
1.30909150410951e+04	(2.35215534764673e+01dB,-2.17624462845826e-01°)
1.31513399594771e+04	(2.35215535178708e+01dB,-2.18628977631843e-01°)
1.32120437866099e+04	(2.35215535596573e+01dB,-2.19638129129608e-01°)
1.32730278098779e+04	(2.35215536018304e+01dB,-2.20651938742349e-01°)
1.33342933226076e+04	(2.35215536443936e+01dB,-2.21670427972110e-01°)
1.33958416240953e+04	(2.35215536873507e+01dB,-2.22693618420193e-01°)
1.34576740196347e+04	(2.35215537307052e+01dB,-2.23721531787630e-01°)
1.35197918205444e+04	(2.35215537744608e+01dB,-2.24754189875629e-01°)
1.35821963441956e+04	(2.35215538186212e+01dB,-2.25791614586058e-01°)
1.36448889140404e+04	(2.35215538631902e+01dB,-2.26833827921881e-01°)
1.37078708596396e+04	(2.35215539081715e+01dB,-2.27880851987650e-01°)
1.37711435166910e+04	(2.35215539535689e+01dB,-2.28932708989962e-01°)
1.38347082270577e+04	(2.35215539993864e+01dB,-2.29989421237937e-01°)
1.38985663387966e+04	(2.35215540456277e+01dB,-2.31051011143678e-01°)
1.39627192061869e+04	(2.35215540922969e+01dB,-2.32117501222763e-01°)
1.40271681897587e+04	(2.35215541393979e+01dB,-2.33188914094707e-01°)
1.40919146563224e+04	(2.35215541869346e+01dB,-2.34265272483469e-01°)
1.41569599789971e+04	(2.35215542349110e+01dB,-2.35346599217895e-01°)
1.42223055372398e+04	(2.35215542833314e+01dB,-2.36432917232236e-01°)
1.42879527168749e+04	(2.35215543321997e+01dB,-2.37524249566618e-01°)
1.43539029101236e+04	(2.35215543815201e+01dB,-2.38620619367538e-01°)
1.44201575156332e+04	(2.35215544312969e+01dB,-2.39722049888351e-01°)
1.44867179385068e+04	(2.35215544815341e+01dB,-2.40828564489769e-01°)
1.45535855903332e+04	(2.35215545322361e+01dB,-2.41940186640335e-01°)
1.46207618892169e+04	(2.35215545834072e+01dB,-2.43056939916964e-01°)
1.46882482598078e+04	(2.35215546350517e+01dB,-2.44178848005400e-01°)
1.47560461333321e+04	(2.35215546871739e+01dB,-2.45305934700755e-01°)
1.48241569476219e+04	(2.35215547397784e+01dB,-2.46438223907970e-01°)
1.48925821471461e+04	(2.35215547928696e+01dB,-2.47575739642374e-01°)
1.49613231830411e+04	(2.35215548464519e+01dB,-2.48718506030151e-01°)
1.50303815131414e+04	(2.35215549005300e+01dB,-2.49866547308879e-01°)
1.50997586020103e+04	(2.35215549551084e+01dB,-2.51019887828028e-01°)
1.51694559209716e+04	(2.35215550101916e+01dB,-2.52178552049491e-01°)
1.52394749481401e+04	(2.35215550657845e+01dB,-2.53342564548088e-01°)
1.53098171684536e+04	(2.35215551218917e+01dB,-2.54511950012095e-01°)
1.53804840737038e+04	(2.35215551785180e+01dB,-2.55686733243786e-01°)
1.54514771625682e+04	(2.35215552356682e+01dB,-2.56866939159914e-01°)
1.55227979406420e+04	(2.35215552933470e+01dB,-2.58052592792284e-01°)
1.55944479204699e+04	(2.35215553515595e+01dB,-2.59243719288266e-01°)
1.56664286215781e+04	(2.35215554103105e+01dB,-2.60440343911336e-01°)
1.57387415705068e+04	(2.35215554696051e+01dB,-2.61642492041594e-01°)
1.58113883008421e+04	(2.35215555294482e+01dB,-2.62850189176320e-01°)
1.58843703532491e+04	(2.35215555898449e+01dB,-2.64063460930524e-01°)
1.59576892755040e+04	(2.35215556508004e+01dB,-2.65282333037463e-01°)
1.60313466225276e+04	(2.35215557123198e+01dB,-2.66506831349200e-01°)
1.61053439564174e+04	(2.35215557744083e+01dB,-2.67736981837159e-01°)
1.61796828464816e+04	(2.35215558370712e+01dB,-2.68972810592682e-01°)
1.62543648692720e+04	(2.35215559003139e+01dB,-2.70214343827545e-01°)
1.63293916086170e+04	(2.35215559641416e+01dB,-2.71461607874560e-01°)
1.64047646556562e+04	(2.35215560285598e+01dB,-2.72714629188118e-01°)
1.64804856088731e+04	(2.35215560935739e+01dB,-2.73973434344739e-01°)
1.65565560741298e+04	(2.35215561591895e+01dB,-2.75238050043645e-01°)
1.66329776647005e+04	(2.35215562254121e+01dB,-2.76508503107336e-01°)
1.67097520013060e+04	(2.35215562922474e+01dB,-2.77784820482136e-01°)
1.67868807121480e+04	(2.35215563597009e+01dB,-2.79067029238793e-01°)
1.68643654329437e+04	(2.35215564277785e+01dB,-2.80355156573031e-01°)
1.69422078069604e+04	(2.35215564964859e+01dB,-2.81649229806144e-01°)
1.70204094850503e+04	(2.35215565658289e+01dB,-2.82949276385562e-01°)
1.70989721256857e+04	(2.35215566358134e+01dB,-2.84255323885446e-01°)
1.71778973949940e+04	(2.35215567064453e+01dB,-2.85567400007257e-01°)
1.72571869667931e+04	(2.35215567777306e+01dB,-2.86885532580367e-01°)
1.73368425226268e+04	(2.35215568496754e+01dB,-2.88209749562627e-01°)
1.74168657518009e+04	(2.35215569222858e+01dB,-2.89540079040981e-01°)
1.74972583514181e+04	(2.35215569955679e+01dB,-2.90876549232049e-01°)
1.75780220264152e+04	(2.35215570695279e+01dB,-2.92219188482721e-01°)
1.76591584895981e+04	(2.35215571441721e+01dB,-2.93568025270778e-01°)
1.77406694616791e+04	(2.35215572195069e+01dB,-2.94923088205483e-01°)
1.78225566713125e+04	(2.35215572955385e+01dB,-2.96284406028187e-01°)
1.79048218551321e+04	(2.35215573722735e+01dB,-2.97652007612948e-01°)
1.79874667577874e+04	(2.35215574497184e+01dB,-2.99025921967143e-01°)
1.80704931319810e+04	(2.35215575278797e+01dB,-3.00406178232068e-01°)
1.81539027385054e+04	(2.35215576067641e+01dB,-3.01792805683581e-01°)
1.82376973462807e+04	(2.35215576863783e+01dB,-3.03185833732707e-01°)
1.83218787323920e+04	(2.35215577667289e+01dB,-3.04585291926274e-01°)
1.84064486821269e+04	(2.35215578478228e+01dB,-3.05991209947526e-01°)
1.84914089890136e+04	(2.35215579296669e+01dB,-3.07403617616756e-01°)
1.85767614548589e+04	(2.35215580122681e+01dB,-3.08822544891960e-01°)
1.86625078897863e+04	(2.35215580956335e+01dB,-3.10248021869447e-01°)
1.87486501122745e+04	(2.35215581797700e+01dB,-3.11680078784488e-01°)
1.88351899491958e+04	(2.35215582646849e+01dB,-3.13118746011962e-01°)
1.89221292358550e+04	(2.35215583503853e+01dB,-3.14564054066995e-01°)
1.90094698160284e+04	(2.35215584368784e+01dB,-3.16016033605617e-01°)
1.90972135420026e+04	(2.35215585241717e+01dB,-3.17474715425394e-01°)
1.91853622746143e+04	(2.35215586122725e+01dB,-3.18940130466107e-01°)
1.92739178832889e+04	(2.35215587011883e+01dB,-3.20412309810394e-01°)
1.93628822460812e+04	(2.35215587909266e+01dB,-3.21891284684399e-01°)
1.94522572497144e+04	(2.35215588814951e+01dB,-3.23377086458472e-01°)
1.95420447896204e+04	(2.35215589729013e+01dB,-3.24869746647792e-01°)
1.96322467699803e+04	(2.35215590651531e+01dB,-3.26369296913064e-01°)
1.97228651037643e+04	(2.35215591582583e+01dB,-3.27875769061188e-01°)
1.98139017127723e+04	(2.35215592522247e+01dB,-3.29389195045927e-01°)
1.99053585276752e+04	(2.35215593470604e+01dB,-3.30909606968581e-01°)
1.99972374880552e+04	(2.35215594427733e+01dB,-3.32437037078688e-01°)
2.00895405424474e+04	(2.35215595393716e+01dB,-3.33971517774685e-01°)
2.01822696483806e+04	(2.35215596368635e+01dB,-3.35513081604624e-01°)
2.02754267724196e+04	(2.35215597352572e+01dB,-3.37061761266839e-01°)
2.03690138902060e+04	(2.35215598345611e+01dB,-3.38617589610651e-01°)
2.04630329865009e+04	(2.35215599347836e+01dB,-3.40180599637058e-01°)
2.05574860552265e+04	(2.35215600359332e+01dB,-3.41750824499440e-01°)
2.06523750995084e+04	(2.35215601380184e+01dB,-3.43328297504294e-01°)
2.07477021317185e+04	(2.35215602410479e+01dB,-3.44913052111872e-01°)
2.08434691735172e+04	(2.35215603450305e+01dB,-3.46505121936965e-01°)
2.09396782558963e+04	(2.35215604499750e+01dB,-3.48104540749557e-01°)
2.10363314192226e+04	(2.35215605558902e+01dB,-3.49711342475591e-01°)
2.11334307132805e+04	(2.35215606627851e+01dB,-3.51325561197658e-01°)
2.12309781973160e+04	(2.35215607706688e+01dB,-3.52947231155737e-01°)
2.13289759400800e+04	(2.35215608795504e+01dB,-3.54576386747911e-01°)
2.14274260198724e+04	(2.35215609894393e+01dB,-3.56213062531103e-01°)
2.15263305245859e+04	(2.35215611003445e+01dB,-3.57857293221817e-01°)
2.16256915517508e+04	(2.35215612122757e+01dB,-3.59509113696867e-01°)
2.17255112085790e+04	(2.35215613252422e+01dB,-3.61168558994114e-01°)
2.18257916120087e+04	(2.35215614392536e+01dB,-3.62835664313223e-01°)
2.19265348887497e+04	(2.35215615543197e+01dB,-3.64510465016397e-01°)
2.20277431753281e+04	(2.35215616704501e+01dB,-3.66192996629141e-01°)
2.21294186181318e+04	(2.35215617876547e+01dB,-3.67883294841006e-01°)
2.22315633734559e+04	(2.35215619059434e+01dB,-3.69581395506364e-01°)
2.23341796075486e+04	(2.35215620253262e+01dB,-3.71287334645137e-01°)
2.24372694966570e+04	(2.35215621458133e+01dB,-3.73001148443603e-01°)
2.25408352270734e+04	(2.35215622674149e+01dB,-3.74722873255143e-01°)
2.26448789951815e+04	(2.35215623901413e+01dB,-3.76452545600999e-01°)
2.27494030075029e+04	(2.35215625140029e+01dB,-3.78190202171083e-01°)
2.28544094807442e+04	(2.35215626390101e+01dB,-3.79935879824729e-01°)
2.29599006418439e+04	(2.35215627651736e+01dB,-3.81689615591504e-01°)
2.30658787280194e+04	(2.35215628925041e+01dB,-3.83451446671949e-01°)
2.31723459868149e+04	(2.35215630210123e+01dB,-3.85221410438432e-01°)
2.32793046761484e+04	(2.35215631507091e+01dB,-3.86999544435888e-01°)
2.33867570643604e+04	(2.35215632816056e+01dB,-3.88785886382630e-01°)
2.34947054302612e+04	(2.35215634137128e+01dB,-3.90580474171190e-01°)
2.36031520631800e+04	(2.35215635470420e+01dB,-3.92383345869052e-01°)
2.37120992630127e+04	(2.35215636816043e+01dB,-3.94194539719537e-01°)
2.38215493402713e+04	(2.35215638174113e+01dB,-3.96014094142546e-01°)
2.39315046161324e+04	(2.35215639544744e+01dB,-3.97842047735446e-01°)
2.40419674224869e+04	(2.35215640928052e+01dB,-3.99678439273825e-01°)
2.41529401019891e+04	(2.35215642324155e+01dB,-4.01523307712352e-01°)
2.42644250081065e+04	(2.35215643733171e+01dB,-4.03376692185616e-01°)
2.43764245051698e+04	(2.35215645155219e+01dB,-4.05238632008920e-01°)
2.44889409684228e+04	(2.35215646590420e+01dB,-4.07109166679135e-01°)
2.46019767840731e+04	(2.35215648038895e+01dB,-4.08988335875569e-01°)
2.47155343493423e+04	(2.35215649500767e+01dB,-4.10876179460746e-01°)
2.48296160725173e+04	(2.35215650976161e+01dB,-4.12772737481319e-01°)
2.49442243730011e+04	(2.35215652465200e+01dB,-4.14678050168872e-01°)
2.50593616813641e+04	(2.35215653968012e+01dB,-4.16592157940811e-01°)
2.51750304393958e+04	(2.35215655484722e+01dB,-4.18515101401196e-01°)
2.52912331001562e+04	(2.35215657015461e+01dB,-4.20446921341613e-01°)
2.54079721280286e+04	(2.35215658560358e+01dB,-4.22387658742054e-01°)
2.55252499987709e+04	(2.35215660119543e+01dB,-4.24337354771780e-01°)
2.56430691995688e+04	(2.35215661693149e+01dB,-4.26296050790176e-01°)
2.57614322290884e+04	(2.35215663281308e+01dB,-4.28263788347658e-01°)
2.58803415975289e+04	(2.35215664884156e+01dB,-4.30240609186553e-01°)
